CARRERA;HORA_ENTRADA;HORA_SALIDA;SEXO;FUMADOR;NIVEL_ELOCUENCIA;IMPORTANCIA_FUMADOR;IMPORTANCIA_ELOCUENCIA;IMPORTANCIA_MUSICA;IMPORTANCIA_SEXO;MODO_TRANSPORTE;GUSTO_MUSICAL;CARPOOLING_AUTO;CARPOOLING_BUS
Ingeniería Civil;7:30:00 a. m.;2:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;6;6;1;Manejo en auto;Reggaeton;Si;
Ingeniería Civil;1:00:00 p. m.;5:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;10:50:00 a. m.;7:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:00:00 p. m.;5:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;12:00:00 p. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;5;1;Autobús;Rock;;No
Medicina;9:00:00 a. m.;3:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;3;6;1;Manejo en auto;Rock;Si;
Ingeniería Civil;9:00:00 a. m.;7:00:00 a. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Comercio Internacional;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;9:00:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:00:00 p. m.;7:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;6;6;2;5;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Análisis de Sistemas Informáticos;6:15:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Administración de Empresas;7:00:00 p. m.;10:00:00 a. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;1:00:00 p. m.;6:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;10;1;Autobús;Rock;;Si
Ingeniería Industrial;7:30:00 a. m.;6:30:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;5;2;5;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Techno, Electrónica, Rap/Hip-Hop;Si;
Arquitectura;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Administración de Empresas;6:55:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;6;5;1;Manejo en auto;Rock, Cumbia, Reggaeton;Si;
Ciencias Contables;6:30:00 p. m.;10:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;1;1;2;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Comercio Internacional;6:30:00 p. m.;10:15:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;1;1;Autobús;Reggaeton;;Si
Ingeniería Industrial;7:30:00 a. m.;4:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;3;8;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ciencias Contables;6:20:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;4;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Comercio Internacional;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;4;7;1;Manejo en auto;Pop, Rock, Metal, Rap/Hip-Hop, Reggaeton;Si;
Fonoaudiología;8:00:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop;Si;
Ingeniería Electrónica;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;8;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;9:00:00 a. m.;6:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Informática;9:00:00 a. m.;3:30:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;3;6;3;Manejo en auto;Pop, Rock, Metal;Si;
Ingeniería Civil;1:00:00 p. m.;5:00:00 p. m.;Hombre;No;Introvertido/a - Tímido/a - Retraído;6;2;3;1;Manejo en auto;Techno, Cumbia, Reggaeton;Si;
Ciencias Contables;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;3;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Filosofía;6:00:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;3;1;2;Exclusivamente a pie;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:00:00 a. m.;2:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;10;5;1;Manejo en auto;Rock;Si;
Ingeniería Industrial;1:00:00 p. m.;8:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;Pop, Techno, Electrónica, Rock, Metal, Rap/Hip-Hop;;Si
Ingeniería Electrónica;1:00:00 p. m.;7:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;5;1;Manejo en auto;Pop, Rock, Metal;Si;
Administración de Empresas;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;3;5;1;Manejo en auto;Electrónica, Reggaeton;Si;
Comercio Internacional;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;2;2;1;2;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Marketing;7:00:00 p. m.;9:30:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;4;7;6;3;Manejo en auto;Pop, Techno, Electrónica, Cumbia, Reggaeton, Trap, Funk brasileño;Si;
No está en la lista;3:00:00 p. m.;6:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;5;6;9;Bicicleta;Techno, Rock, Metal;;Si
Teología;7:05:00 a. m.;12:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;7:11:00 p. m.;8:11:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;3;3;1;Bicicleta;Rock, Rap/Hip-Hop;;Si
Derecho;5:30:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Electrónica;9:00:00 a. m.;5:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;4;3;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Administración de Empresas;6:30:00 p. m.;9:30:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;4;1;6;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ciencias Contables;6:00:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;Cumbia;;Si
Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Arquitectura;8:00:00 a. m.;6:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Reggae, Reggaeton, Trap, Funk brasileño;Si;
Arquitectura;7:30:00 a. m.;4:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;6;8;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
