CARRERA;HORA_ENTRADA;HORA_SALIDA;SEXO;FUMADOR;NIVEL_ELOCUENCIA;IMPORTANCIA_FUMADOR;IMPORTANCIA_ELOCUENCIA;IMPORTANCIA_MUSICA;IMPORTANCIA_SEXO;MODO_TRANSPORTE;GUSTO_MUSICAL;CARPOOLING_AUTO;CARPOOLING_BUS
Ingeniería Civil;8:00:00 a. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;2;2;1;Exclusivamente a pie;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;2:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;5;7;Autobús;Pop;;Si
Medicina;7:30:00 a. m.;3:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Diseño Gráfico;6:00:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;6;1;1;1;Autobús;Pop, Electrónica, Rock, Metal, Reggaeton, Trap;;Si
Ciencias Contables;7:00:00 p. m.;10:15:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;4;10;4;1;Manejo en auto;Trap;Si;
Medicina;7:30:00 a. m.;6:30:00 a. m.;Mujer;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;7;1;1;Manejo en auto;Rock;Si;
Ciencias Contables;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;5;5;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;12:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;7;3;3;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop;;Si
Ingeniería Civil;7:30:00 a. m.;12:00:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;4;6;1;Autobús;Pop;;Si
Administración de Empresas;6:30:00 p. m.;10:00:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;3;1;6;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Comercio Internacional;6:30:00 p. m.;9:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;5;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ciencias Políticas;7:00:00 a. m.;4:00:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;2;1;2;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;11:00:00 a. m.;4:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;8;9;5;Manejo en auto;Reggaeton;Si;
Medicina;7:30:00 a. m.;5:30:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;12:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;2;4;1;1;Autobús;Pop, Electrónica, Reggaeton;;Si
Ingeniería Civil;7:00:00 a. m.;5:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;7:30:00 a. m.;6:00:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;8:00:00 a. m.;6:30:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;5;1;Autobús;Techno;;Si
Fonoaudiología;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;10;10;10;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Marketing;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Análisis de Sistemas Informáticos;6:00:00 p. m.;10:10:00 a. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;10;1;Me traen en auto;Pop, Rock, Metal;No;
Ingeniería Civil;1:00:00 p. m.;6:00:00 a. m.;Mujer;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;8;10;1;Manejo en auto;Rock;Si;
Fonoaudiología;7:30:00 a. m.;12:15:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;10;10;10;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Administración de Empresas;6:00:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;5;5;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Análisis de Sistemas Informáticos;6:15:00 p. m.;10:15:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;8;1;Manejo en auto;Techno;Si;
Medicina;8:00:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;5;5;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Ingeniería Civil;1:00:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;5;5;5;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Medicina;7:30:00 a. m.;5:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;9:15:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;4;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Administración de Empresas;6:00:00 p. m.;10:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;2;3;4;1;Manejo en auto;Reggaeton;Si;
Medicina;7:30:00 a. m.;8:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;6;5;1;Autobús;Reggaeton;;Si
Medicina;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;6;1;8;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;7:00:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:00:00 p. m.;6:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;3;2;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ciencias Contables;6:30:00 p. m.;10:10:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;1;5;1;Me traen en auto;Rock;Si;
Medicina;7:30:00 a. m.;12:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;9;1;10;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;1:00:00 p. m.;12:50:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;12:30:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;1:00:00 p. m.;6:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;9:00:00 a. m.;5:45:00 a. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;4;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Industrial;10:00:00 a. m.;4:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;5;5;Autobús;Pop;;Si
Arquitectura;8:00:00 a. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;3;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Informática;9:00:00 a. m.;4:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;1;5;1;Manejo en auto;Pop, Metal, Reggae;Si;
Medicina;7:30:00 a. m.;2:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;9;10;10;Manejo en auto;Pop, Reggae, Cumbia, Reggaeton, Trap;Si;
Medicina;7:30:00 a. m.;3:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;5;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;4:00:00 a. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;5;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;1;1;Manejo en auto;Pop, Electrónica, Rock, Metal, Reggae, Reggaeton, Funk brasileño;Si;
Ingeniería Industrial;7:30:00 a. m.;6:20:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;2;2;Autobús;Pop, Electrónica, Rock, Reggaeton;;Si
Comercio Internacional;5:30:00 p. m.;10:00:00 a. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;3;7;3;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;12:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Introvertido/a - Tímido/a - Retraído;10;10;1;1;Autobús;Prefiero ir en silencio;;Si
Medicina;10:00:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;4;4;8;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;8:30:00 a. m.;5:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;3;5;3;Me traen en auto;Pop;Si;
Comercio Internacional;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;5;7;5;Manejo en auto;Pop, Rock, Cumbia, Reggaeton;Si;
Ingeniería Civil;7:30:00 a. m.;5:45:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Informática;1:00:00 p. m.;5:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;5;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;10:00:00 a. m.;4:30:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;7;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Industrial;9:30:00 a. m.;5:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;3;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Comercio Internacional;6:30:00 p. m.;10:30:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Marketing;7:00:00 p. m.;10:00:00 a. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;1;3;4;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Reggaeton, Trap, Funk brasileño;Si;
Ingeniería Civil;7:30:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;5;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;No
Medicina;7:00:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;7;7;9;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Marketing;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;5;10;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Fonoaudiología;7:30:00 a. m.;1:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;4;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Mujer;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;4;4;8;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;9:00:00 a. m.;5:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;7;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Análisis de Sistemas Informáticos;5:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;4;3;3;Autobús;Pop, Rock;;No
Ingeniería Civil;1:00:00 p. m.;7:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;7;5;5;Manejo en auto;Reggaeton, Trap;Si;
Análisis de Sistemas Informáticos;6:45:00 p. m.;9:30:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;7;5;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Fonoaudiología;7:30:00 a. m.;11:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;3;3;2;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;1;1;Autobús;Reggaeton;;Si
Ingeniería Civil;9:00:00 a. m.;6:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
No está en la lista;7:30:00 a. m.;1:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;5;5;6;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;8:00:00 a. m.;7:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;10;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;2:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;4;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Marketing;6:30:00 p. m.;9:50:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;7;1;1;Manejo en auto;Pop, Prefiero ir en silencio;Si;
Economía;6:30:00 p. m.;10:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;8;1;2;Me traen en auto;Pop;Si;
Marketing;6:20:00 p. m.;10:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;1:00:00 p. m.;6:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;6;1;4;6;Manejo en auto;Reggaeton;Si;
Medicina;7:30:00 a. m.;12:15:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;Reggaeton;;Si
Ingeniería Civil;8:00:00 a. m.;7:30:00 a. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Industrial;7:30:00 a. m.;4:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:00:00 p. m.;6:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;2;1;Manejo en auto;Pop, Rap/Hip-Hop, Reggae;Si;
Ingeniería Civil;1:00:00 p. m.;6:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;7;5;1;Autobús;Pop, Rap/Hip-Hop, Reggae, Reggaeton, Funk brasileño;;Si
Ingeniería Civil;9:00:00 a. m.;4:00:00 p. m.;Mujer;No;Introvertido/a - Tímido/a - Retraído;4;7;7;2;Manejo en auto;Reggaeton;Si;
Medicina;7:30:00 a. m.;4:45:00 a. m.;Mujer;No;Introvertido/a - Tímido/a - Retraído;5;1;1;1;Autobús;Pop;;Si
Medicina;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;9;1;1;1;Autobús;Pop, Techno, Electrónica, Rock;;Si
Comercio Internacional;7:00:00 a. m.;1:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Reggaeton, Trap;Si;
Arquitectura;1:00:00 p. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;1;1;5;Manejo en auto;Pop, Rock, Reggaeton;Si;
Medicina;7:15:00 a. m.;6:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;2;2;5;3;Manejo en auto;Pop, Techno, Electrónica, Rock, Reggae, Cumbia, Reggaeton;Si;
Medicina;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;1;1;Manejo en auto;Electrónica, Reggae, Reggaeton;Si;
Medicina;8:00:00 a. m.;5:00:00 a. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;7;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Marketing;6:00:00 a. m.;10:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;6;10;10;Manejo en auto;Pop, Techno, Reggaeton;Si;
Medicina;7:30:00 a. m.;5:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;7;2;2;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Rock, Metal, Rap/Hip-Hop, Reggae, Cumbia, Reggaeton, Trap, Funk brasileño;;Si
Medicina;7:30:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;2;2;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ciencias Contables;8:00:00 a. m.;12:10:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;4;3;2;2;Autobús;Electrónica, Reggaeton;;Si
Medicina;7:30:00 a. m.;12:00:00 a. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;1;1;1;Autobús;Pop;;Si
Administración de Empresas;7:00:00 p. m.;9:50:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;5;4;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Electrónica;Si;
Economía;6:00:00 p. m.;10:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;Pop;;Si
Ciencias Contables;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;8;5;2;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;1:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;4;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Reggaeton;Si;
Ingeniería Civil;10:00:00 a. m.;5:00:00 a. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;6;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:00:00 p. m.;7:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;3;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;3:00:00 a. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;2;1;3;Manejo en auto;Pop;Si;
Ingeniería Civil;7:30:00 a. m.;3:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;6;4;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;3:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;2;1;8;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Rock;Si;
Fonoaudiología;7:30:00 a. m.;12:40:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;9:00:00 a. m.;5:45:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Comercio Internacional;8:30:00 p. m.;10:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;8:00:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;8;1;5;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;4:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;8;3;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Electrónica, Rock, Metal, Reggaeton;Si;
Medicina;7:30:00 a. m.;4:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;6;5;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;10:00:00 a. m.;5:00:00 p. m.;Mujer;No;Introvertido/a - Tímido/a - Retraído;8;1;1;4;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Rock, Rap/Hip-Hop;Si;
Marketing;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;3;5;Manejo en auto;Pop, Reggaeton, Trap, Funk brasileño;Si;
Administración de Empresas;7:00:00 p. m.;10:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;3;7;4;4;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;9:00:00 a. m.;4:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;5;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Comercio Internacional;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;6;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;3:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;4;1;Exclusivamente a pie;Pop, Techno, Electrónica;;Si
Diseño Industrial;6:30:00 a. m.;9:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;9;8;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Industrial;2:30:00 p. m.;7:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;9;2;2;Manejo en auto;Reggaeton;Si;
